,Likes,Retweets,Text,User Location
176,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
177,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Ohio, USA"
178,0,0,"The oppressor will never try to understand or sympathize, they will just continue to oppress with absolute prejudic… https://t.co/MboNYLIrvT",Earth
179,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,New Orleans
180,0,0,RT @Richardjames094: My name is James Richard I am a black trans if you are unable to donate please share I also have Zelle 5054454306 http…,
181,1,0,"If it's people of color it's a gang.

If it's white people it's a militia.

Those ""militias"" are white supremacist… https://t.co/68wrwTLUPA",Southern California
182,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Michigan, USA"
183,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,UK
184,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Los Angeles, CA"
185,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…, SC
